,Stock Symbol,Cluster
0,BBNI,2
1,CEKA,0
2,DMAS,0
3,DVLA,1
4,ELSA,2
5,EPMT,1
6,INDR,2
7,INDS,1
8,IPCC,2
9,LSIP,1
10,MBAP,2
11,MFIN,1
12,MFMI,0
13,MSIN,2
14,NRCA,1
15,PBID,1
16,PGLI,0
17,POWR,2
18,PPRE,2
19,PTRO,1
20,SCCO,1
21,TPMA,0
22,VINS,0
23,WSBP,2
