Date,Open,High,Low,Close,Adj Close,Volume
2015-09-28,125.000000,151.000000,105.000000,105.000000,89.280197,8441800
2015-09-29,104.000000,104.000000,95.000000,95.000000,80.777313,1631900
2015-09-30,95.000000,100.000000,87.000000,87.000000,73.975014,475400
2015-10-01,85.000000,98.000000,81.000000,85.000000,72.274445,661300
2015-10-02,81.000000,86.000000,78.000000,78.000000,66.322433,273100
2015-10-05,72.000000,82.000000,71.000000,72.000000,61.220711,640400
2015-10-06,73.000000,82.000000,72.000000,74.000000,62.921280,843200
2015-10-07,74.000000,79.000000,72.000000,79.000000,67.172722,208600
2015-10-08,77.000000,83.000000,75.000000,78.000000,66.322433,36300
2015-10-09,75.000000,82.000000,73.000000,75.000000,63.771564,350500
2015-10-12,78.000000,78.000000,73.000000,74.000000,62.921280,13900
2015-10-13,79.000000,80.000000,71.000000,75.000000,63.771564,96000
2015-10-15,78.000000,78.000000,73.000000,77.000000,65.472145,29400
2015-10-16,73.000000,77.000000,72.000000,77.000000,65.472145,156700
2015-10-19,74.000000,79.000000,72.000000,75.000000,63.771564,27500
2015-10-20,76.000000,76.000000,73.000000,75.000000,63.771564,4800
2015-10-21,77.000000,95.000000,73.000000,81.000000,68.873299,39700
2015-10-22,79.000000,82.000000,76.000000,80.000000,68.023010,14600
2015-10-23,80.000000,82.000000,76.000000,81.000000,68.873299,23800
2015-10-26,76.000000,80.000000,75.000000,75.000000,63.771564,7500
2015-10-27,80.000000,80.000000,73.000000,78.000000,66.322433,400
2015-10-28,72.000000,78.000000,71.000000,78.000000,66.322433,49700
2015-10-29,78.000000,80.000000,73.000000,74.000000,62.921280,3500
2015-10-30,78.000000,78.000000,68.000000,69.000000,58.669842,800
2015-11-02,78.000000,78.000000,70.000000,74.000000,62.921280,82400
2015-11-03,70.000000,74.000000,70.000000,74.000000,62.921280,200
2015-11-04,77.000000,77.000000,71.000000,74.000000,62.921280,4800
2015-11-05,71.000000,76.000000,67.000000,67.000000,56.969265,310500
2015-11-06,72.000000,74.000000,65.000000,65.000000,55.268692,80500
2015-11-09,68.000000,68.000000,60.000000,60.000000,51.017250,59500
2015-11-10,55.000000,63.000000,55.000000,58.000000,49.316681,95300
2015-11-11,58.000000,63.000000,56.000000,58.000000,49.316681,40300
2015-11-12,56.000000,69.000000,56.000000,69.000000,58.669842,1900
2015-11-13,63.000000,69.000000,63.000000,63.000000,53.568119,66800
2015-11-16,57.000000,63.000000,57.000000,63.000000,53.568119,11200
2015-11-17,65.000000,65.000000,63.000000,64.000000,54.418404,600
2015-11-18,64.000000,65.000000,64.000000,64.000000,54.418404,37400
2015-11-19,66.000000,66.000000,59.000000,62.000000,52.717831,44000
2015-11-20,60.000000,62.000000,57.000000,60.000000,51.017250,47800
2015-11-23,65.000000,65.000000,56.000000,56.000000,47.616104,37600
2015-11-24,63.000000,63.000000,55.000000,58.000000,49.316681,43500
2015-11-25,60.000000,63.000000,55.000000,60.000000,51.017250,19600
2015-11-26,60.000000,63.000000,58.000000,63.000000,53.568119,900
2015-11-27,65.000000,65.000000,65.000000,65.000000,55.268692,500
2015-11-30,59.000000,66.000000,59.000000,64.000000,54.418404,35100
2015-12-01,58.000000,62.000000,58.000000,59.000000,50.166969,51500
2015-12-02,60.000000,69.000000,58.000000,69.000000,58.669842,88900
2015-12-03,75.000000,75.000000,63.000000,63.000000,53.568119,167200
2015-12-04,70.000000,70.000000,57.000000,61.000000,51.867542,5400
2015-12-07,64.000000,64.000000,55.000000,62.000000,52.717831,23400
2015-12-08,59.000000,62.000000,58.000000,61.000000,51.867542,23700
2015-12-09,61.000000,61.000000,61.000000,61.000000,51.867542,0
2015-12-10,65.000000,65.000000,56.000000,62.000000,52.717831,4300
2015-12-11,57.000000,59.000000,56.000000,56.000000,47.616104,55400
2015-12-14,54.000000,62.000000,54.000000,60.000000,51.017250,3600
2015-12-15,54.000000,59.000000,54.000000,56.000000,47.616104,15400
2015-12-16,67.000000,67.000000,54.000000,59.000000,50.166969,4100
2015-12-17,55.000000,64.000000,55.000000,64.000000,54.418404,182400
2015-12-18,70.000000,86.000000,60.000000,86.000000,73.124733,3305300
2015-12-21,88.000000,98.000000,85.000000,89.000000,75.675591,1094800
2015-12-22,91.000000,92.000000,83.000000,86.000000,73.124733,214300
2015-12-23,87.000000,97.000000,85.000000,95.000000,80.777313,2568100
2015-12-28,94.000000,96.000000,88.000000,92.000000,78.226456,172800
2015-12-29,92.000000,96.000000,92.000000,94.000000,79.927032,355700
2015-12-30,92.000000,104.000000,90.000000,104.000000,88.429909,1125000
2016-01-04,103.000000,107.000000,96.000000,104.000000,88.429909,181500
2016-01-05,100.000000,104.000000,98.000000,100.000000,85.028755,135500
2016-01-06,105.000000,105.000000,99.000000,99.000000,84.178467,31300
2016-01-07,90.000000,99.000000,90.000000,91.000000,77.376175,6000
2016-01-08,91.000000,96.000000,82.000000,82.000000,69.723579,97700
2016-01-11,90.000000,90.000000,80.000000,81.000000,68.873299,10800
2016-01-12,86.000000,90.000000,76.000000,86.000000,73.124733,2500
2016-01-13,80.000000,90.000000,80.000000,90.000000,76.525887,57500
2016-01-14,89.000000,90.000000,83.000000,90.000000,76.525887,118200
2016-01-15,97.000000,97.000000,87.000000,92.000000,78.226456,1900
2016-01-18,85.000000,85.000000,84.000000,84.000000,71.424156,9200
2016-01-19,90.000000,90.000000,78.000000,88.000000,74.825310,300
2016-01-20,80.000000,88.000000,80.000000,80.000000,68.023010,8800
2016-01-21,86.000000,87.000000,86.000000,87.000000,73.975014,7200
