,Company_Name,Code_Name,Subsector,Equity,PBVR,DER,Div_Yield,ROE,DPR
0,Puradelta Lestari Tbk.,DMAS,Property And Real Estate,6440.0,1.34,0.1894,0.2333,0.0331,10.5
1,Nusa Raya Cipta Tbk.,NRCA,Building Construction,1250.0,0.75,0.9575,0.0802,0.0898,0.6667
2,Plaza Indonesia Realty Tbk.,PLIN,Property And Real Estate,11710.0,0.73,0.0824,0.0413,0.0473,0.6346
3,Wijaya Karya Bangunan Gedung T,WEGE,Building Construction,2200.0,0.89,1.69,0.0578,0.1481,0.3471
4,Total Bangun Persada Tbk.,TOTL,Building Construction,1140.0,1.1,1.6937,0.1087,0.2139,0.5556
5,Jaya Real Property Tbk.,JRPT,Property And Real Estate,7170.0,0.8,0.5641,0.0577,0.1155,0.4
