,Company_Name,Code_Name,Subsector,Equity,PBVR,DER,Div_Yield,ROE,DPR
0,Indocement Tunggal Prakarsa Tb,INTP, Basic Industry And Chemicals,23480.0,1.82,0.166,0.0474,0.0682,1.2644
1,Panca Budi Idaman Tbk.,PBID,Plastics & Packaging,1730.0,0.92,0.3805,0.0694,0.1426,0.4504
2,Waskita Beton Precast Tbk.,WSBP,Cement,7210.0,0.74,1.1848,0.0407,0.0579,0.5138
