,Company_Name,Code_Name,Subsector,Equity,PBVR,DER,Div_Yield,ROE,DPR
0,Mitrabara Adiperdana Tbk.,MBAP,Coal Mining,2245.6,0.79,0.3792,0.0955,0.3717,0.2025
1,Bukit Asam Tbk.,PTBA,Coal Mining,19760.0,1.21,0.395,0.1577,0.1828,1.0397
2,Indo Tambangraya Megah Tbk.,ITMG,Coal Mining,12198.8,0.59,0.4293,0.1711,0.0707,1.4278
3,Adaro Energy Tbk.,ADRO,Coal Mining,52360.0,0.57,0.7883,0.1027,0.105,0.6341
4,Petrosea Tbk.,PTRO,Non Building Construction,2939.3,0.43,1.6297,0.0732,0.0801,0.2487
5,Elnusa Tbk.,ELSA,Crude Petroleum & Natural Gas ,3630.0,0.49,1.1532,0.0505,0.0571,0.4361
