,Company_Name,Code_Name,Subsector,Equity,PBVR,DER,Div_Yield,ROE,DPR
0,PP London Sumatra Indonesia Tb,LSIP,Plantation,8580.0,0.67,0.2202,0.0225,0.0377,0.3958
1,BISI International Tbk.,BISI,Crops,2340.0,1.04,0.231,0.1227,0.0416,3.125
