Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Trinitan Metals and Minerals T",PURE,"Metal And Allied Products",31-Dec-19," December",1.33,150.67,37.7,452120,842610,669100,173510,-43890,-22550,-27370,0,-20525,339091,130135,-32915,47436,130135,0,-0.01,0,0,0,0,-0.001,-0.0498,-0.0605,-0.1125,-0.1577,-0.0324,3.8562,0.0982,0.8181,1.0114
"Saraswanti Anugerah Makmur Tbk",SAMF,Chemicals,31-Mar-20," December",5.13,1950,316.7,260.22,1480,735.92,717.29,-46.31,42.58,20.6,10.3,16,203,140,-36,18,144,0.0271,23.75,1.87,2.71,-10.51,0.6438,0.3043,0.1636,0.0791,0.0469,0.1148,0.0558,1.026,0.1352,0.9701,1.7137
"Singaraja Putra Tbk.",SINI,"Wood Industries",31-Mar-20," December",0.45112,259.39,532.4,58.92,169.13,142.14,25.07,-0.03782,3.3,0.80258,0,7,524,56,0,16,60,0,82.14,1.1,10.27,-1710.5,0,0.1502,0.056,0.0136,0.0291,0.1281,0.0189,5.6698,0.0722,0.3528,0.9244
"Sierad Produce Tbk.",SIPD,"Animal Feed",31-Mar-20," December",1.34,1450,1.2,1150,2420,1480,945.37,42.67,59.23,29.16,0,87,3437,706,127,145,706,0,12.47,0.32,1.54,8.51,0,0.1509,0.0514,0.0253,0.0153,0.1233,0.048,1.5648,0.1502,0.6767,1.1158
"Semen Baturaja (Persero) Tbk.",SMBR," Basic Industry And Chemicals",31-Mar-20," December",9.93,3220,57.8,335.77,5650,2250,3410,-30.76,-11.2,-64.17,1.91,-26,135,343,-12,8,343,0.0059,-12.46,2.4,0.94,-26.16,-0.0735,0.3644,-0.0333,-0.1911,-0.3167,-0.0753,-0.0454,0.6594,0.0793,0.6754,1.0215
"Solusi Bangun Indonesia Tbk.",SMCB," Cement",31-Mar-20," December",7.66,8010,10.4,2460,19480,12420,7060,-37.18,299.01,68.43,0,36,1286,921,-19,36,921,0,29.03,0.81,1.13,-53.84,0,0.2703,0.1213,0.0277,-0.0245,0.0387,0.014,1.7589,0.1083,0.7749,1.2444
"Semen Indonesia (Persero) Tbk.",SMGR,Cement,31-Mar-20," December",5.93,55900,3279.6,8580,79280,44560,33000,1100,1160,446.46,40.33,301,5786,5564,740,545,5853,0.0043,31.31,1.63,1.69,12.73,0.134,0.3152,0.1348,0.052,0.0081,0.0541,0.0225,1.3503,0.2966,1.021,1.4881
"Satyamitra Kemas Lestari Tbk.",SMKL,"Plastics & Packaging",31-Mar-20," December",3.4,595,90.7,461.62,1730,1040,697.75,30.78,46.83,20.98,0,25,543,205,36,5,205,0,7,0.32,0.85,4.83,0,0.2408,0.1014,0.0454,0.0286,0.1202,0.0484,1.4838,0.02,0.7075,1.062
"Suparma Tbk.",SPMA,"Pulp & Paper",31-Mar-20," December",2.11,549.79,116.5,560.23,2220,866.15,1350,139.79,44.27,-24.56,0,-46,1060,640,264,56,640,0,-5.65,0.25,0.41,0.98,0,0.1545,0.079,-0.0438,-0.0763,-0.0725,-0.0442,0.6402,0.3009,0.8213,1.927
"Indo Acidatama Tbk",SRSN,Chemicals,31-Mar-20," December",6.02,349.16,10.6,215.78,737,208.61,528.4,72.83,15.32,13.6,1,9,143,88,48,5,88,0.0172,6.44,0.4,0.66,1.2,0.1111,0.2197,0.071,0.063,0.0737,0.1029,0.0738,0.3948,0.1949,1.9264,2.9523
"SLJ Global Tbk.",SULI," Wood Industries",31-Mar-20," December",3.99,199.35,0.7,172.2,1379.28,1379.28,-27.16,24.08,-42.14,-72.1,0,-72.8,172.2,-7,23.8,7,-7,0,-0.59,0.25,-6.23,1.78,0,-0.1417,-0.2449,-0.4184,-0.4853,10.5922,-0.2132,-50.6763,0.0221,0.0931,0
"Sriwahana Adityakarta Tbk.",SWAT,"Pulp & Paper",31-Mar-20," December",3.02,286.82,95,58.24,618.58,268.21,350.12,-4.73,2.46,-4.22,0,-6,77,116,-6,6,116,0,-15.83,1.23,0.82,-15.17,0,0.113,0.0422,-0.0724,-0.1487,-0.0482,-0.0272,0.766,0.0728,0.5236,0.8213
"Tunas Alfin Tbk.",TALF,"Plastics & Packaging",31-Mar-20," December",1.35,314,58.7,256.53,1450,428.63,989.24,2.18,12.07,8.79,6,26,758,731,6,22,751,0.0259,8.92,0.31,0.32,36.01,0.2308,0.1126,0.047,0.0342,0.0406,0.0355,0.0243,0.4333,0.1264,1.1115,2.1699
"Tembaga Mulia Semanan Tbk.",TBMS,"Metal And Allied Products",31-Mar-20," December",0.36734,246.12,95,1873.9,1931.72,1255.1,676.48,81.62,40.04,6.338,36.4,68.6,20405,1842.4,889,385,1842.4,0.0553,8.3,0.03,0.31,0.1652,0.034,0.0213,0.0033,0.0038,0.0374,0.0131,1.8553,0.1127,0.8998,1.1298,0
"Tridomain Performance Material",TDPM,Chemicals,31-Dec-19," December",10.49,975.11,40.8,4328.24,4988.06,2769.62,2132.76,378.7,479.92,218.82,0,21,413,203,28.84,28,211.4,0,4.49,0.23,0.46,2.59,0,0.1498,0.1108,0.0505,0.0211,0.1026,0.0438,1.2986,0.2836,2.7668,2.9283
"Tirta Mahakam Resources Tbk",TIRT,"Wood Industries",31-Mar-20," December",1.01,54.64,24.7,91.18,781.37,895.83,-114.46,89.78,-70.27,-150.41,0,-595,360,-113,355,-113,0,-0.09,0.15,-0.48,0.15,0,-0.6155,-0.7706,-1.6495,-1.6496,5.2561,-0.7699,-7.8266,0.0926,0.1814,0.7995,0
"Pabrik Kertas Tjiwi Kimia Tbk.",TKIM,"Pulp & Paper",31-Mar-20," December",3.11,22030,437.4,3742.34,43120,21560,21560,1288.14,235.48,2187.36,50,2809.8,4807.6,0.4958,1654.8,767.2,6941.2,0.0071,2.15,1.26,0.87,3.66,0.0152,0.1307,0.0629,0.5844,0.512,0.4049,0.2026,0.9981,0.3586,1.2924,1.7736
"Surya Toto Indonesia Tbk.",TOTO,"Ceramics, Glass, Porcelain",31-Mar-20," December",10.32,2290,720.1,482.9,3370,1390,1980,84.88,46.35,57.82,3,22,187,192,33,29,192,0.0135,10.09,1.19,1.16,6.75,0.1364,0.2036,0.0959,0.1197,0.1368,0.1166,0.0685,0.7014,0.7361,2.0657,3.5189
"Chandra Asri Petrochemical Tbk",TPIA,Chemicals,31-Mar-20," December",17.83,118590,1537.9,6675.62,47600,23880,24220,-1424.36,-515.2,-249.76,5.18,-56,1498,1360.8,319.2,490,1365,0.0008,-101.58,3.8,4.18,-17.8,0.2909,-0.0348,-0.0756,-0.0374,-0.1256,-0.0411,-0.0209,0.9612,0.8082,1.3325,1.6975
"Trias Sentosa Tbk.",TRST,"Plastics & Packaging",31-Mar-20," December",2.81,1070,227.9,685.86,5070,2500,2490,61.88,23.03,-2.28,5,-3,977,885,88,15,914,0.0131,-127.33,0.39,0.43,4.33,-1.6667,0.0835,0.0335,-0.0033,-0.0182,-0.0036,-0.0018,1.0064,0.0271,0.5225,1.043
"Unggul Indah Cahaya Tbk.",UNIC,Cable,31-Mar-20," December",0.38333,1330,116.5,1168.3,2941.82,539.28,2295.86,89.32,63,1.96,450,21,12191.2,5989.2,932.4,484.4,6267.8,0.1184,143.81,0.24,0.49,3.17,18.75,0.1112,0.0539,0.0016,0.0277,0.0034,0.0026,0.2349,0.3956,1.6262,4.6071
"Waskita Beton Precast Tbk.",WSBP,Cement,31-Mar-20," December",26.36,5320,41.2,753.66,15760,8550,7210,-155.12,148.76,104.58,8.22,16,114,274,-24,7,274,0.0407,12.63,1.77,0.74,-8.58,0.5138,0.2485,0.1973,0.1387,0.1114,0.0579,0.0265,1.1848,0.0266,1.0572,1.431
"Wijaya Karya Beton Tbk.",WTON,Cement,31-Mar-20," December",8.72,2600,50.5,1170,9620,6410,3140,-108.39,104.53,72.66,15.36,33,535,360,-50,102,368,0.0515,9.03,0.56,0.83,-5.99,0.4655,0.1138,0.0896,0.0622,0.0386,0.0925,0.0302,2.0426,0.1533,0.9135,1.1091
"Yanaprima Hastapersada Tbk",YPAS,"Plastics & Packaging",31-Mar-20," December",0.668,309.95,85.1,73.19,265.6,140.97,124.62,10.21,5.95,3.35,0,20,438,187,61,6,187,0,23.2,1.06,2.48,7.59,0,0.1573,0.0812,0.0457,0.0432,0.1074,0.0504,1.1312,0.0523,0.9806,1.673
