,Company_Name,Code_Name,Subsector,Equity,PBVR,DER,Div_Yield,ROE,DPR
0,Cikarang Listrindo Tbk.,POWR,Energy,9250.92,0.88,0.963,0.0418,0.0196,1.9143
1,Indonesia Kendaraan Terminal T,IPCC,"Toll Road, Airport, Harbor",1090.0,0.72,0.7903,0.0811,0.0746,0.7749
2,Perusahaan Gas Negara Tbk.,PGAS,Energy,36400.0,0.65,1.7905,0.0366,0.0735,0.3222
3,PP Presisi Tbk.,PPRE,Non Building Construction,2240.0,0.89,1.9676,0.0332,0.025,1.3
4,Samudera Indonesia Tbk.,SMDR,Transportation,2218.86,0.29,1.6935,0.0348,0.047,0.2162
5,Nusantara Infrastructure Tbk.,META,Wholesale (Durable & Non-Durab,2620.0,0.73,0.8753,0.088,0.0619,1.0556
6,Blue Bird Tbk.,BIRD,Transportation,5320.0,0.48,0.4284,0.0716,0.0103,3.3182
7,Trans Power Marine Tbk.,TPMA,Transportation,11236.4,0.65,0.3829,0.0821,0.0596,0.8867
8,Temas Tbk.,TMAS,Transportation,1190.0,0.5,1.9298,0.0343,0.013,1.2
