,Company_Name,Code_Name,Subsector,Equity,PBVR,DER,Div_Yield,ROE,DPR
0,Indospring Tbk.,INDS,Automotive And Components,2600.0,0.55,0.1068,0.0461,0.0662,0.3802
1,Supreme Cable Manufacturing &,SCCO,Cable,3270.0,0.59,0.2709,0.0535,0.1353,0.2325
2,Astra Otoparts Tbk.,AUTO,Automotive And Components,10720.0,0.41,0.4672,0.067,0.0428,0.6421
3,Astra International Tbk.,ASII,Automotive And Components,154580.0,1.28,1.1052,0.0412,0.1244,0.4505
4,Jembo Cable Company Tbk.,JECC,Cable,762.6,1.35,1.1619,0.041,0.0386,1.5385
5,Indo-Rama Synthetics Tbk.,INDR,"Textile, Garment",5260.5,0.24,1.0903,0.1504,0.046,0.7852
