Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Bank Capital Indonesia Tbk.",BACA,Bank,31/03/2020," December",7.07,2690,280.2,839.69,17690,16140,1550,1.55,43.03,32.02,0,18,475,220,15,352,220,0,21.11,0.8,1.73,25.74,0,0,0.0512,0.0381,0,0.0825,0.0072,10.3967,0.1543,1.0131,1.0131
"Bank Central Asia Tbk.",BBCA,Bank,31/03/2020," December",24.66,764310,17714.3,22720,972930,801220,171610,171.61,7930,6580,555,1068,3687,6961,3348,3074,6965,0.0179,29.03,8.41,4.45,9.26,0.5197,0,0.3488,0.2896,0,0.1533,0.027,4.6688,0.0948,0.9977,0.9977
"Bank Harda Internasional Tbk.",BBHI,Bank,31/03/2020," December",4.18,577.45,110.4,50.17,2320,2020,300.25,0.30025,0.82919,0.4885,0,0,48,72,-126,30,72,0,0,2.88,1.92,-1.1,0,0,0.0165,0.0097,0,0.0065,0.0008,6.7328,0.062,1.0081,1.0081
"Bank Bukopin Tbk.",BBKP,Bank,31/03/2020," December",11.65,2130,54.9,2250,100800,92210,8580,8.58,61.37,53.62,0,18,771,736,-470,454,738,0,10.17,0.24,0.25,-0.39,0,0,0.0273,0.0238,0,0.025,0.0021,10.7523,0.058,0.9927,0.9927
"Buana Finance Tbk.",BBLD,"Financial Institution",31/03/2020," December",1.65,648.44,156.8,191.89,5010,3820,1190,1.19,147.19,16.06,14,39,466,726,438,159,726,0.0355,10.1,0.84,0.54,0.9,0.359,0,0.767,0.0836,-0.4042,0.0537,0.0128,3.1966,0.1373,0,2.5507
"Bank Mestika Dharma Tbk.",BBMD,Bank,31/03/2020," December",4.09,6010,106.5,304.15,12790,9400,3390,3.39,80.07,62.9,0,62,297,828,561,196,828,0,23.71,4.94,1.78,2.62,0,0,0.2632,0.2068,0,0.0743,0.0196,2.7766,0.0852,1.2874,1.2874
"Bank Negara Indonesia (Persero",BBNI,Bank,31/03/2020," December",18.65,87090,22.5,17370,868450,758610,107480,107.48,4300,4250,206.241,912,3725,5763,6173,4238,5890,0.0442,5.12,1.25,0.81,0.76,0.2261,0,0.2476,0.2448,0,0.1582,0.0195,7.0584,0.1139,1.1843,1.1843
"Bank Rakyat Indonesia (Persero",BBRI,Bank,31/03/2020," December",123.35,383610,3554.3,38630,1358980,1179340,177260,177.26,8850,8160,168.202,265,1253,1437,-1512,766,1456,0.0541,11.74,2.48,2.16,-2.06,0.6347,0,0.2291,0.2113,0,0.1841,0.024,6.653,0.0815,1.0872,1.0872
"Bank Tabungan Negara (Persero)",BBTN,Bank,31/03/2020," December",10.59,13710,168.9,6510,308190,291700,16490,16.49,308.39,457.1,1.97604,173,2458,1557,-2727,1527,1557,0.0015,7.49,0.53,0.83,-0.47,0.0114,0,0.0473,0.0702,0,0.1108,0.0059,17.6902,0.0601,1.0104,1.0104
"Bank Yudha Bhakti Tbk.",BBYB,Bank,31/03/2020," December",6.36,1850,268.3,137.22,4850,3890,960.86,0.96086,13.46,13.2,0,8,89,151,33,41,156,0,36.25,3.26,1.92,8.92,0,0,0.098,0.0961,0,0.0549,0.0108,4.044,0.0644,1.1332,1.1332
