Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Jasnita Telekomindo Tbk.",JAST,Telecommunication,31/12/2019," December",0.81363,79.74,39.8,103.16,148.86,59.09,88.23,0.08823,34.9,1.64,0,2,127,108,-32,2,110,0,49,0.77,0.91,-3.06,0,0,0.3383,0.0158,-0.0203,0.0185,0.0109,0.6698,0.0235,0,1.3802
"Armada Berjaya Trans Tbk.",JAYA,Transportation,31/03/2020," December",0.375,33.75,90,17.94,92.59,27.37,65.21,0.06521,1.98,1.12,0,12,191,174,34,3,174,0,7.5,0.47,0.52,2.65,0,0.3027,0.1104,0.0624,0.0399,0.0686,0.0483,0.4198,0.0533,0,0.9551
"Jasa Marga (Persero) Tbk.",JSMR,"Toll Road, Airport, Harbor And",31/03/2020," December",7.26,32010,260,4180,101100,76450,19420,19.42,1530,587.93,15.205,324,2303,2676,284,488,3396,0.0034,13.61,1.92,1.65,15.52,0.0469,0.4293,0.3656,0.1407,-0.0107,0.121,0.0232,3.9362,0.1204,0.387,0.3889
"ICTSI Jasa Prima Tbk.",KARW,"Toll Road, Airport, Harbor And",31/03/2020," December",0.58715,29.36,8.5,1.9208,265.3,755.16,-489.72,-0.48972,-11.2721,-14,0,-95.2,12.6,-834.4,-12.6,22.4,-834.4,0,-0.45,3.26,-0.05,-3.44,0,-3.7901,-5.8651,-7.3001,-7.3314,0.1145,-0.2114,-1.5418,0.0173,0.0279,0.0319
"Kencana Energi Lestari Tbk.",KEEN,Energy,31/03/2020," December",3.67,1130,77.8,56.42,3631.04,1400.56,1926.54,-7.979,21.84,97.86,0,106.4,61.6,525,-8.4,14,609,0,2.47,4.28,0.5,-30.35,0,0.5237,0.3874,1.7335,0.7445,0.2032,0.1078,0.727,0.1788,0,12.5846
"Krida Jaringan Nusantara Tbk.",KJEN,Transportation,31/03/2020," December",0.5,550,544.5,2.96,70.38,4.44,65.95,0.06595,0.2079,0.33017,0,3,24,132,6,1,132,0,366.67,46.53,8.33,190.33,0,0.6507,0.0703,0.1116,0.0694,0.02,0.0187,0.0673,0.1281,1.6758,1.6809
"Mitra Energi Persada Tbk.",KOPI,Transportation,31/03/2020," December",0.69727,348.63,126.6,52.55,172.8,82.41,89.66,0.08966,4.19,3.73,0,21,301,129,7,17,130,0,23.81,1.66,3.88,67.25,0,0.2816,0.0797,0.0708,-0.2017,0.1661,0.0862,0.9192,0.1712,0.7284,1.3916
"Leyand International Tbk.",LAPD,Energy,31/03/2020," December",3.97,198.32,92.8,0,148.78,274.2,-125.42,-0.12542,-12.38,-39.17,0,-40,0,-32,-1,0,-32,0,-1.25,0,-1.56,-33.59,0,0,0,0,0,1.2492,-1.053,-2.1863,0.0033,0.0049,0.0543
"LCK Global Kedaton Tbk.",LCKM,"Non Building Construction",31/03/2020," December",1,328,157.7,9.27,145.51,14.84,130.68,0.13068,0.96034,0.96034,1,4,37,131,6,11,131,0.003,82,8.85,2.5,51.35,0.25,0,0.1035,0.1035,0.1036,0.0293,0.0263,0.1135,0.7782,0,8.8924
"Logindo Samudramakmur Tbk.",LEAD,Transportation,31/03/2020," December",4.05,202.48,7.8,93.8,1517.74,1517.74,548.66,0.54,6.934,-18.62,0,-18.2,93.8,135.8,22.4,33.6,135.8,0,-2.33,0.46,0.32,1.93,0,0.2076,0.0736,-0.1975,-0.3353,-0.1357,-0.036,2.7666,0.7302,1.4881,1.567
