Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Putra Mandiri Jembar Tbk.",PMJS,"Wholesale (Durable & Non-Durab",31/03/2020," December",13.76,1750,101.6,2020,3620,1200,1990,163.06,33.57,27.64,0,8,588,145,47,19,176,0,15.88,0.22,0.88,2.68,0,0.0619,0.0166,0.0136,0.0157,0.0555,0.0305,0.6038,0.234,0.9454,2.1574
"Pudjiadi & Sons Tbk.",PNSE,"Tourism, Restaurant And Hotel",31/03/2020," December",0.79781,538.52,337.3,36.99,447.84,197.65,171.6,-5.67,-17.22,-16.57,0,-83,185,215,-28,38,314,0,-8.13,3.64,3.14,-23.73,0,0.4295,-0.4655,-0.4478,-0.4737,-0.3861,-0.1479,1.1518,0.4484,0.8545,1.0631
"Pool Advista Indonesia Tbk.",POOL,"Investment Company",31/03/2020," December",2.34,117.07,4.1,-27.83,550.71,40.2,442.37,4.06,-47.41,-47.99,0,-82,-48,189,7,20,218,0,-0.61,-1.05,0.26,7.22,0,0,1.7038,1.7244,1.7144,-0.4338,-0.3485,0.0909,1.3582,0,12.4971
"Prodia Widyahusada Tbk.",PRDA,Healthcare,31/03/2020," December",0.9375,2960,48.6,391.37,2100,412.45,1690,189.84,28.83,34.78,112.139,148,1670,1800,810,176,1800,0.0355,21.35,1.89,1.76,3.9,0.7577,0.572,0.0736,0.0888,0.072,0.0824,0.0662,0.2444,0.9716,7.2026,7.4739
"Royal Prima Tbk.",PRIM,Healthcare,31/03/2020," December",3.39,1010,298,45.66,908.74,55.29,852.52,13.25,3.48,2.3,0,3,54,251,16,3,252,0,99.33,5.54,1.19,19.07,0,0.3337,0.0761,0.0503,0.0739,0.0107,0.0101,0.0649,0.2343,1.1673,1.5494
"Red Planet Indonesia Tbk.",PSKT,"Tourism, Restaurant And Hotel",31/03/2020," December",10.35,517.56,59.5,13.49,457.97,64.54,393.46,-2.75,-4.51,-4.91,0,-2,5,38,-1,1,38,0,-25,9.59,1.32,-47,0,0.4722,-0.3341,-0.3638,-0.3714,-0.0498,-0.0428,0.164,0.3845,1.9897,1.9976
"Pioneerindo Gourmet Internatio",PTSP,"Tourism, Restaurant And Hotel",31/03/2020," December",0.22081,717.63,254.9,148.28,360.71,178.31,163.59,-18.43,-4.45,-7.38,0,-134,2686,741,-334,119,826,0,-24.25,1.21,4.39,-9.74,0,0.6165,-0.0299,-0.0497,-0.0506,-0.1805,-0.0818,1.09,0.2167,0.6392,0.9719
"Sarimelati Kencana Tbk.",PZZA,"Tourism, Restaurant And Hotel",31/03/2020," December",3.02,2070,685,955.64,2370,1020,1350,103.38,9.94,6.05,29.95,8,1265,446,137,71,446,0.0437,85.63,0.54,1.54,5.01,3.7438,0.66,0.0104,0.0063,0.0046,0.0179,0.0102,0.7566,0.3431,0.5204,0.8959
"Ramayana Lestari Sentosa Tbk.",RALS,"Retail Trade",31/03/2020," December",7.1,4080,359.4,916.13,5780,1590,4190,-156.74,-40.57,13.3,50,7,516,590,-88,164,590,0.087,82.14,1.11,0.97,-6.51,7.1429,0.4078,-0.0442,0.0145,-0.0369,0.0126,0.0092,0.3793,1.0151,2.5317,3.4384
"Supra Boga Lestari Tbk.",RANC,"Retail Trade",31/03/2020," December",1.56,657.08,84,782.18,1290,750.55,538.18,187.24,21.82,22.89,7,59,2000,344,479,246,346,0.0167,7.12,0.21,1.22,0.88,0.1186,0.2629,0.0278,0.0292,0.028,0.1701,0.0708,1.3946,0.7469,0.8542,1.4092
"Aesler Grup Internasional Tbk.",RONY,"Tourism, Restaurant And Hotel",30/09/2019," December",1.25,200,160,9.78,18.02,2.14,15.88,1.27,5.23,4.64,0,5,10,13,1,1,13,0,32,15.34,12.31,117.9,0,0.7609,0.5352,0.4743,0.5324,0.3895,0.3432,0.135,1.3914,0,8.1118
"Sarana Meditama Metropolitan T",SAME,Healthcare,31/03/2020," December",5.9,407.1,86.3,136.62,2220,1270,959.72,18.19,10.96,-17.77,0,-12,93,163,12,6,163,0,-5.75,0.74,0.42,5.6,0,0.4497,0.0801,-0.13,-0.3038,-0.074,-0.0319,1.3182,0.1415,0.457,0.5279
"Surya Citra Media Tbk.",SCMA,"Advertising, Printing And Medi",31/03/2020," December",14.77,18250,561.4,1300,7190,1400,5190,376.73,415.55,311.52,25,84,353,351,102,59,392,0.0202,14.7,3.5,3.52,12.11,0.2976,0.5547,0.3185,0.2388,0.3289,0.24,0.1733,0.2696,0.7599,2.6548,3.49
"Millennium Pharmacon Internati",SDPC,"Wholesale (Durable & Non-Durab",31/03/2020," December",1.27,138.87,72.8,785.28,1320,1080,242.21,-30.81,23.3,6.78,3,21,2466,190,-97,39,190,0.0275,5.19,0.04,0.57,-1.13,0.1429,0.0866,0.0296,0.0086,-0.0076,0.1118,0.0205,4.439,0.047,0.7229,1.1438
"Surya Fajar Capital Tbk.",SFAN,"Others - Trade Services & Inve",31/03/2020," December",1.36,1340,523.9,2.06,162.98,8.7,153.3,2.08,-3.62,-6.87,0,-20,7,113,7,64,137,0,-49.25,134.82,8.72,134.06,0,0,-1.7529,-3.328,-3.8075,-0.1792,-0.1685,0.0568,9.4195,0,18.0456
"Hotel Sahid Jaya International",SHID,"Tourism, Restaurant And Hotel",31/03/2020," December",1.12,4090,169.6,25.44,1460,538.12,923.04,2.37,-6.12,-9.65,0,-34,91,825,8,13,827,0,-107.35,40.15,4.42,431.3,0,0.596,-0.2404,-0.3795,-0.5535,-0.0418,-0.0263,0.583,0.1536,0.7851,2.9952
"Siloam International Hospitals",SILO,Healthcare,31/03/2020," December",1.63,8210,57.3,1880,8920,2950,5920,417.1,132.84,16.2,0,40,4616,3643,1026,308,3673,0,126.25,1.09,1.39,4.92,0,0.3352,0.0707,0.0086,0.0116,0.0109,0.0072,0.4986,0.342,1.0865,1.2463
"Siwani Makmur Tbk",SIMA,"Others - Trade Services & Inve",30/09/2019," December",0.44259,22.13,6.4,3.28,259.71,261.72,-2,-7.38,1.1,-17.21,0,-52,10,-5,-22,1,-5,0,-0.96,5.06,-10,-2.25,0,0.9085,0.3339,-5.2482,-5.2475,11.4438,-0.0883,-130.533,0.0012,0,0.0153
"Northcliff Citranusa Indonesia",SKYB,"Retail Trade",30/09/2019," December",0.585,29.84,13.6,3.66,38.15,7.94,55.01,-0.09026,-0.54309,-0.02696,0,0,8,94,0,2,52,0,0,6.12,0.54,-247.91,0,0.6221,-0.1485,-0.0073,-0.1013,-0.0006,-0.0009,0.1443,0.1239,0,0.6768
"Sona Topas Tourism Industry Tb",SONA,"Retail Trade",31/03/2020," December",0.3312,1990,581.8,221.81,1160,366.1,788.97,-26.86,-28.37,-43.16,0,-521,2679,2382,-324,1646,2385,0,-11.52,2.24,2.52,-18.5,0,0.4914,-0.1279,-0.1945,-0.1897,-0.2188,-0.1493,0.464,1.9301,2.2071,3.3324
"Shield On Service Tbk.",SOSS,"Others - Trade Services & Inve",31/03/2020," December",0.65607,234.87,368.69,284.02,148.26,119.17,-11.53,5.97,3.8,0,23,2248,182,-70,63,207,0,15.57,0.16,1.97,-5.09,0,0.0886,0.0161,0.0103,0.0102,0.1277,0.0535,1.2441,0.2937,1.8723,1.926,0
