Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Summarecon Agung Tbk.",SMRA,"Property And Real Estate",31/03/2020," December",14.43,8580,977.6,1040,25770,16440,7190,48.66,241.57,37.04,5,10,288,498,13,177,647,0.0084,59.5,2.06,1.19,44.1,0.5,0.5079,0.2324,0.0356,0.0871,0.0206,0.0057,2.2875,0.2604,0.3666,1.301
"Surya Semesta Internusa Tbk.",SSIA,"Building Construction",31/03/2020," December",4.71,1770,154.3,882.05,8170,3660,3990,-135.69,30.93,-17.41,5,-15,750,847,-115,292,959,0.0133,-25.07,0.5,0.44,-3.26,-0.3333,0.2039,0.035,-0.0197,-0.0919,-0.0174,-0.0085,0.9191,0.8521,2.063,2.3219
"Lancartama Sejati Tbk.",TAMA,"Building Construction",31/03/2020," December",1,155,88.6,8.11,166.74,112.74,54,-2.19,2.7,0.19645,0,1,32,54,-9,1,54,0,155,4.78,2.87,-17.71,0,0.4965,0.3327,0.0241,-0.2084,0.0145,0.0047,2.0877,0.012,0,0.3112
"Sitara Propertindo Tbk.",TARA,"Property And Real Estate",31/03/2020," December",10.07,1860,174.5,3.27,1120,70.13,1040,2,3.27,-0.5143,0,0,1,104,1,1,105,0,0,142.3,1.78,232.4,0,0,1,-0.157,-0.3732,-0.0019,-0.0018,0.0671,0.3401,0.7389,1.4125
"Totalindo Eka Persada Tbk.",TOPS,"Building Construction",30/09/2019," December",33.33,1670,80.6,631.35,3120,1780,1340,18.17,154.18,-29.22,0,-1,25,40,1,1,40,0,-50,1.98,1.25,68.79,0,0.3141,0.2442,-0.0462,-0.1351,-0.029,-0.0124,1.333,0.0169,1.3899,1.4084
"Total Bangun Persada Tbk.",TOTL,"Building Construction",31/03/2020," December",3.41,1250,132.3,725.74,3070,1930,1140,-61.05,39.99,60.99,40,72,851,334,-72,190,334,0.1087,5.11,0.43,1.1,-5.14,0.5556,0.117,0.0551,0.084,0.0852,0.2139,0.0794,1.6937,0.3939,0,1.4581
"Perintis Triniti Properti Tbk.",TRIN,"Property And Real Estate",31/03/2020," December",4.37,1180,135,11.61,2040,1320,652.89,-12.76,-24.46,-6.24,0,-6,11,149,-12,20,166,0,-45,25.42,1.81,-23.14,0,0.4178,-2.1063,-0.5369,-0.7608,-0.0382,-0.0121,2.0225,0.0988,0.3339,1.2569
"Urban Jakarta Propertindo Tbk.",URBN,"Property And Real Estate",31/03/2020," December",3.23,5030,1555,51.07,2780,1690,1090,15.32,-1.97,2.54,0,3,63,338,19,283,338,0,518.33,24.6,4.6,81.99,0,0.1379,-0.0385,0.0496,-0.2059,0.0092,0.0036,1.5464,0.6208,0.7919,1.7902
"Wijaya Karya Bangunan Gedung T",WEGE,"Building Construction",31/03/2020," December",9.57,1950,70.3,957.5,5960,3730,2200,-411.64,84.07,81.65,11.8,34,400,230,-172,92,234,0.0578,6,0.51,0.89,-1.19,0.3471,0.1069,0.0878,0.0852,0.083,0.1481,0.0547,1.69,0.2803,1.4025,1.5136
"Wijaya Karya (Persero) Tbk.",WIKA,"Building Construction",31/03/2020," December",8.97,11390,326.4,4200,61120,44320,14300,-4130,314.15,99.21,50.955,44,1873,1595,-1842,839,1872,0.0401,28.86,0.68,0.8,-0.69,1.1581,0.1212,0.0748,0.0236,-0.0298,0.0277,0.0064,3.099,0.2271,0.9962,1.2443
"Waskita Karya (Persero) Tbk.",WSKT,"Building Construction",31/03/2020," December",13.57,9710,193,4170,116370,89100,16070,2810,625.96,42.7,3.4557,13,1229,1184,827,449,2009,0.0048,55,0.58,0.6,0.86,0.2658,0.2007,0.1501,0.0102,-0.211,0.0106,0.0014,5.5454,0.152,0.8974,1.0447
