,Company_Name,Code_Name,Subsector,Equity,PBVR,DER,Div_Yield,ROE,DPR
0,Wilmar Cahaya Indonesia Tbk.,CEKA,Food And Beverages,1200.0,0.97,0.1952,0.051,0.2216,0.2242
1,Darya-Varia Laboratoria Tbk.,DVLA,Pharmaceuticals,1350.0,1.87,0.4374,0.0476,0.1679,0.5297
2,Budi Starch & Sweetener Tbk.,BUDI,Food And Beverages,1200.0,0.32,1.2986,0.0595,0.0223,0.8333
3,Gudang Garam Tbk.,GGRM,Tobacco Manufacturers ,53380.0,1.69,0.4394,0.0555,0.1833,0.5112
