Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,3800.000000,3800.000000,3800.000000,3800.000000,3075.032227,1100
2015-07-28,3700.000000,3750.000000,3700.000000,3750.000000,3034.571533,3500
2015-07-29,3750.000000,3750.000000,3750.000000,3750.000000,3034.571533,4500
2015-07-30,3680.000000,3725.000000,3675.000000,3700.000000,2994.110352,2800
2015-07-31,3700.000000,3700.000000,3700.000000,3700.000000,2994.110352,1000
2015-08-03,3650.000000,3650.000000,3600.000000,3600.000000,2913.188477,3100
2015-08-04,3700.000000,3700.000000,3550.000000,3700.000000,2994.110352,300
2015-08-05,3725.000000,3725.000000,3725.000000,3725.000000,3014.341064,100
2015-08-06,3725.000000,3725.000000,3725.000000,3725.000000,3014.341064,0
2015-08-07,3725.000000,3725.000000,3725.000000,3725.000000,3014.341064,0
2015-08-10,3725.000000,3725.000000,3725.000000,3725.000000,3014.341064,100
2015-08-11,3560.000000,3560.000000,3560.000000,3560.000000,2880.819824,500
2015-08-12,3550.000000,3675.000000,3550.000000,3675.000000,2973.880371,1600
2015-08-13,3675.000000,3675.000000,3675.000000,3675.000000,2973.880371,0
2015-08-14,3700.000000,3700.000000,3700.000000,3700.000000,2994.110352,500
2015-08-18,3675.000000,3675.000000,3675.000000,3675.000000,2973.880371,10000
2015-08-19,3675.000000,3675.000000,3675.000000,3675.000000,2973.880371,0
2015-08-20,3600.000000,3600.000000,3600.000000,3600.000000,2913.188477,5200
2015-08-21,3500.000000,3500.000000,3500.000000,3500.000000,2832.266602,200
2015-08-24,3500.000000,3500.000000,3500.000000,3500.000000,2832.266602,0
2015-08-25,3400.000000,3400.000000,3400.000000,3400.000000,2751.344727,22300
2015-08-26,3400.000000,3400.000000,3400.000000,3400.000000,2751.344727,0
2015-08-27,3400.000000,3400.000000,3400.000000,3400.000000,2751.344727,400
2015-08-28,3400.000000,3600.000000,3400.000000,3600.000000,2913.188477,20500
2015-08-31,3675.000000,3700.000000,3675.000000,3700.000000,2994.110352,200
2015-09-01,3575.000000,3650.000000,3575.000000,3650.000000,2953.649658,25100
2015-09-02,3625.000000,3625.000000,3400.000000,3400.000000,2751.344727,1100
2015-09-03,3375.000000,3500.000000,3250.000000,3475.000000,2812.036377,13400
2015-09-04,3300.000000,3300.000000,3250.000000,3260.000000,2638.054199,15200
2015-09-07,3200.000000,3200.000000,3200.000000,3200.000000,2589.500732,9100
2015-09-08,3100.000000,3400.000000,3000.000000,3400.000000,2751.344727,5000
2015-09-09,3370.000000,3420.000000,3300.000000,3420.000000,2767.529297,2800
2015-09-10,3420.000000,3420.000000,3420.000000,3420.000000,2767.529297,0
2015-09-11,3420.000000,3420.000000,3420.000000,3420.000000,2767.529297,0
2015-09-14,3420.000000,3420.000000,3420.000000,3420.000000,2767.529297,0
2015-09-15,3420.000000,3420.000000,3420.000000,3420.000000,2767.529297,0
2015-09-16,3420.000000,3420.000000,3420.000000,3420.000000,2767.529297,0
2015-09-17,3420.000000,3420.000000,3420.000000,3420.000000,2767.529297,0
2015-09-18,3420.000000,3420.000000,3420.000000,3420.000000,2767.529297,0
2015-09-21,3420.000000,3420.000000,3420.000000,3420.000000,2767.529297,0
2015-09-22,3420.000000,3420.000000,3420.000000,3420.000000,2767.529297,0
2015-09-23,3420.000000,3420.000000,3420.000000,3420.000000,2767.529297,0
2015-09-25,3500.000000,3500.000000,3450.000000,3450.000000,2791.805908,1300
2015-09-28,3450.000000,3450.000000,3450.000000,3450.000000,2791.805908,0
2015-09-29,3450.000000,3450.000000,3450.000000,3450.000000,2791.805908,0
2015-09-30,3450.000000,3500.000000,3450.000000,3500.000000,2832.266602,1700
2015-10-01,3350.000000,3500.000000,3350.000000,3500.000000,2832.266602,1600
2015-10-02,3500.000000,3500.000000,3500.000000,3500.000000,2832.266602,0
2015-10-05,3500.000000,3500.000000,3500.000000,3500.000000,2832.266602,0
2015-10-06,3500.000000,3500.000000,3500.000000,3500.000000,2832.266602,0
2015-10-07,3600.000000,3700.000000,3600.000000,3700.000000,2994.110352,200
2015-10-08,3500.000000,3500.000000,3500.000000,3500.000000,2832.266602,400
2015-10-09,3550.000000,3550.000000,3550.000000,3550.000000,2872.727783,100
2015-10-12,3500.000000,3550.000000,3500.000000,3550.000000,2872.727783,1100
2015-10-13,3550.000000,3550.000000,3550.000000,3550.000000,2872.727783,1000
2015-10-15,3475.000000,3575.000000,3475.000000,3575.000000,2892.958252,5100
2015-10-16,3475.000000,3575.000000,3475.000000,3575.000000,2892.958252,5100
2015-10-19,3575.000000,3575.000000,3575.000000,3575.000000,2892.958252,0
2015-10-20,3575.000000,3575.000000,3575.000000,3575.000000,2892.958252,0
2015-10-21,3575.000000,3575.000000,3575.000000,3575.000000,2892.958252,0
2015-10-22,3575.000000,3575.000000,3575.000000,3575.000000,2892.958252,0
2015-10-23,3675.000000,3740.000000,3675.000000,3740.000000,3026.479492,200
2015-10-26,3740.000000,3740.000000,3740.000000,3740.000000,3026.479492,0
2015-10-27,3740.000000,3740.000000,3740.000000,3740.000000,3026.479492,0
2015-10-28,3740.000000,3740.000000,3740.000000,3740.000000,3026.479492,0
